"Region","RegionCount"
"Africa and Red Sea",131
"Alaska",88
"Antarctica",34
"Atlantic Ocean",30
"Canada and Western USA",71
"Hawaii and Pacific Ocean",33
"Iceland and Arctic Ocean",34
"Indonesia",142
"Japan, Taiwan, Marianas",141
"Kamchatka and Mainland Asia",132
"Kuril Islands",46
"Mediterranean and Western Asia",44
"Melanesia and Australia",80
"Middle East and Indian Ocean",46
"M̩xico and Central America",120
"New Zealand to Fiji",60
"Philippines and SE Asia",62
"South America",197
"West Indies",17
